Kód obce,Název obce,Voliči v seznamu,Vydané obálky,Platné hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Unie H.A.V.E.L.,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
533173,Barchovice,185,132,132,"6,06 %","0,00 %","0,00 %","8,33 %","0,00 %","10,60 %","8,33 %","0,00 %","0,00 %","1,51 %","0,75 %","0,00 %","20,45 %","0,00 %","0,00 %","6,06 %","28,03 %","0,00 %","1,51 %","1,51 %","0,00 %","0,75 %","0,00 %","0,75 %","5,30 %","0,00 %"
533181,Bečváry,822,492,491,"8,35 %","0,00 %","0,20 %","6,51 %","0,00 %","19,14 %","9,77 %","0,61 %","0,61 %","0,61 %","0,00 %","0,00 %","6,92 %","0,00 %","0,00 %","2,03 %","34,01 %","0,00 %","0,61 %","1,22 %","0,00 %","0,40 %","0,00 %","0,40 %","8,35 %","0,20 %"
533190,Bělušice,229,123,123,"7,31 %","0,00 %","0,00 %","9,75 %","0,00 %","13,00 %","14,63 %","0,00 %","0,81 %","0,00 %","0,00 %","0,00 %","6,50 %","0,00 %","0,00 %","0,00 %","37,39 %","0,00 %","0,00 %","0,81 %","0,00 %","0,00 %","0,00 %","0,00 %","9,75 %","0,00 %"
533211,Břežany I,251,147,147,"6,12 %","0,00 %","0,00 %","2,72 %","0,00 %","23,12 %","3,40 %","1,36 %","2,72 %","1,36 %","0,00 %","0,00 %","4,76 %","0,00 %","0,00 %","0,68 %","34,69 %","0,00 %","0,00 %","7,48 %","0,00 %","0,00 %","0,00 %","0,00 %","10,88 %","0,68 %"
533220,Břežany II,567,328,328,"12,80 %","0,60 %","0,00 %","6,70 %","0,00 %","9,45 %","5,79 %","2,13 %","2,13 %","1,82 %","0,00 %","0,00 %","14,63 %","0,30 %","0,00 %","4,87 %","27,74 %","0,00 %","0,00 %","2,43 %","0,00 %","0,91 %","0,60 %","0,30 %","6,09 %","0,60 %"
533238,Býchory,455,306,305,"7,54 %","0,32 %","0,00 %","5,24 %","0,00 %","29,50 %","9,50 %","0,32 %","0,32 %","1,31 %","0,00 %","0,00 %","3,93 %","0,00 %","0,00 %","2,29 %","30,16 %","0,00 %","0,00 %","0,65 %","0,00 %","0,98 %","0,00 %","0,00 %","7,86 %","0,00 %"
533246,Cerhenice,1 327,807,800,"7,50 %","0,00 %","0,00 %","18,37 %","0,25 %","10,75 %","8,25 %","0,87 %","0,87 %","1,75 %","0,00 %","0,00 %","8,62 %","0,00 %","0,12 %","1,12 %","29,00 %","0,00 %","0,00 %","2,87 %","0,12 %","0,37 %","0,00 %","0,00 %","9,00 %","0,12 %"
599476,Církvice,133,86,86,"1,16 %","0,00 %","0,00 %","8,13 %","0,00 %","25,58 %","11,62 %","1,16 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","2,32 %","31,39 %","0,00 %","0,00 %","0,00 %","0,00 %","1,16 %","0,00 %","0,00 %","17,44 %","0,00 %"
533262,Červené Pečky,1 434,911,905,"8,83 %","0,11 %","0,00 %","5,08 %","0,00 %","29,06 %","7,29 %","0,55 %","0,77 %","1,21 %","0,22 %","0,11 %","6,96 %","0,11 %","0,00 %","4,08 %","24,19 %","0,00 %","0,00 %","1,65 %","0,00 %","0,33 %","0,00 %","0,22 %","9,17 %","0,00 %"
533271,Český Brod,5 481,3 347,3 330,"15,04 %","0,09 %","0,03 %","6,27 %","0,06 %","8,22 %","6,36 %","1,23 %","0,66 %","1,56 %","0,00 %","0,24 %","13,00 %","0,06 %","0,09 %","7,74 %","26,06 %","0,09 %","0,00 %","3,69 %","0,09 %","0,66 %","0,09 %","0,12 %","8,28 %","0,21 %"
